Date : 2026-07-04 16:09:31
Directory : t:\GAMES\No Name Yet\Assets
Total : 68 files,  2812 codes, 708 comments, 527 blanks, all 4047 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         68 |      2,812 |        708 |        527 |      4,047 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| t:\GAMES\No Name Yet\Assets\Code\Core\Checker\Normal\InteractableChecker.cs              | C#       |         20 |          1 |          3 |         24 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Checker\Normal\MultiCircleChecker.cs               | C#       |         34 |          8 |          5 |         47 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Checker\Normal\RayChecker.cs                       | C#       |        124 |         20 |         14 |        158 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Checker\Normal\SightChecker.cs                     | C#       |         78 |         10 |         11 |         99 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Controller\BaseController.cs                       | C#       |         15 |         10 |          2 |         27 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Controller\IController.cs                          | C#       |          8 |         10 |          0 |         18 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Controller\InputData\InputData.cs                  | C#       |          8 |          4 |          1 |         13 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Detector\BaseDetector.cs                           | C#       |         63 |         28 |         11 |        102 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Detector\IDetector.cs                              | C#       |         15 |         15 |          2 |         32 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Effects\SpriteFX.cs                                | C#       |         76 |         14 |         11 |        101 |
| t:\GAMES\No Name Yet\Assets\Code\Core\EventCenter\EventCenter.cs                         | C#       |         28 |         23 |          8 |         59 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Interaction\IGrabbable.cs                          | C#       |         12 |          0 |          2 |         14 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Interaction\IHookable.cs                           | C#       |         15 |          0 |          3 |         18 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Manager\AudioManager.cs                            | C#       |         30 |          3 |          7 |         40 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Manager\DebugManager.cs                            | C#       |         17 |          4 |          6 |         27 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Manager\GameManager.cs                             | C#       |         44 |          3 |          8 |         55 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Manager\LevelManager.cs                            | C#       |         19 |          0 |          3 |         22 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Manager\PoolManager.cs                             | C#       |         33 |          8 |          7 |         48 |
| t:\GAMES\No Name Yet\Assets\Code\Core\Manager\UIManager.cs                               | C#       |         33 |          2 |          6 |         41 |
| t:\GAMES\No Name Yet\Assets\Code\Core\StateMachine\BaseStateMachine.cs                   | C#       |         60 |         31 |         14 |        105 |
| t:\GAMES\No Name Yet\Assets\Code\Core\StateMachine\IStateMachine.cs                      | C#       |         12 |          3 |          1 |         16 |
| t:\GAMES\No Name Yet\Assets\Code\Core\StateMachine\Normal\ActorStateMachine.cs           | C#       |         38 |         15 |          6 |         59 |
| t:\GAMES\No Name Yet\Assets\Code\Core\StateMachine\Normal\ActorStateMachineWithTimer.cs  | C#       |         24 |         12 |          4 |         40 |
| t:\GAMES\No Name Yet\Assets\Code\Core\StateMachine\Normal\IActorStateMachine.cs          | C#       |         19 |          0 |          3 |         22 |
| t:\GAMES\No Name Yet\Assets\Code\Core\StateMachine\Normal\IActorStateMachineWithTimer.cs | C#       |         11 |          0 |          1 |         12 |
| t:\GAMES\No Name Yet\Assets\Code\Core\State\BaseState.cs                                 | C#       |         18 |         25 |          5 |         48 |
| t:\GAMES\No Name Yet\Assets\Code\Core\State\IState.cs                                    | C#       |         14 |         20 |          3 |         37 |
| t:\GAMES\No Name Yet\Assets\Code\Data\ActorData.cs                                       | C#       |         33 |          4 |          8 |         45 |
| t:\GAMES\No Name Yet\Assets\Code\Item\Anchor.cs                                          | C#       |         25 |          1 |          5 |         31 |
| t:\GAMES\No Name Yet\Assets\Code\Item\Chain.cs                                           | C#       |        313 |         21 |         69 |        403 |
| t:\GAMES\No Name Yet\Assets\Code\Item\ChainHook.cs                                       | C#       |        116 |          1 |         23 |        140 |
| t:\GAMES\No Name Yet\Assets\Code\Pyhsics\Attraction\MagnetAttractor2D.cs                 | C#       |         98 |         18 |         22 |        138 |
| t:\GAMES\No Name Yet\Assets\Code\Pyhsics\Buoyancy\ConstantBuoyancy2D.cs                  | C#       |         66 |         18 |         18 |        102 |
| t:\GAMES\No Name Yet\Assets\Code\Pyhsics\Buoyancy\IBuoyancy2D.cs                         | C#       |         10 |         12 |          4 |         26 |
| t:\GAMES\No Name Yet\Assets\Code\Pyhsics\TurbForce\TurbForceZone2D.cs                    | C#       |        214 |         45 |         43 |        302 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\Counter.cs                                    | C#       |         73 |         20 |         11 |        104 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\Logger.cs                                     | C#       |         13 |         11 |          3 |         27 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\PersistentSingleton.cs                        | C#       |         19 |         25 |          1 |         45 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\Singleton.cs                                  | C#       |         33 |          8 |          3 |         44 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\TimerManager\ITimerManager.cs                 | C#       |         14 |          0 |          1 |         15 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\TimerManager\Timer.cs                         | C#       |         41 |         24 |          6 |         71 |
| t:\GAMES\No Name Yet\Assets\Code\Utilities\TimerManager\TimerManager.cs                  | C#       |         60 |          8 |          8 |         76 |
| Total                                                                                    |          |      2,812 |        708 |        527 |      4,047 |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
